jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Kansas,Forensic Profiles,forensic_profiles,2009-08-06 08:12:55,2524,stale_exact_reappearance,False,False,False,True
Kansas,Forensic Profiles,forensic_profiles,2009-08-25 08:23:03,2524,stale_exact_reappearance,False,False,False,True
Kansas,Forensic Profiles,forensic_profiles,2010-04-09 22:42:22,2524,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-08-13 18:00:57,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-09-10 17:56:34,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-09-16 15:03:27,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-10-15 14:26:18,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-11-12 22:14:41,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2008-12-10 21:10:33,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-01-14 20:17:45,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-01-18 04:37:40,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-02-11 23:42:19,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-03-11 17:09:11,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-04-17 15:45:00,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-05-12 12:39:54,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-08-06 08:12:55,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2009-08-25 08:23:03,37788,stale_exact_reappearance,False,False,False,True
Kansas,Offender Profiles,offender_profiles,2010-04-09 22:42:22,37788,stale_exact_reappearance,False,False,False,True
